EMP REC;REV REC;NOME REC;CNPJ REC;TOTAL REC;EMP PAG;REV PAG;NOME PAG;CNPJ PAG;TOTAL PAG;BASE PAG;COMISSAO;                                                    
1;1;SERVOPA MATRIZ           ;7,65646E+13;0000202900,00+;5;3;PLAZA ALTO XV            ;3,78713E+12;0000000000,00+;0000202900,00+;0000006087,00+;
1;1;SERVOPA MATRIZ           ;7,65646E+13;0000713175,00+;10;1;PRIXX CURITIBA           ;7,20223E+12;0000555350,00+;0000157825,00+;0000007891,00+;
1;1;SERVOPA MATRIZ           ;7,65646E+13;0000505650,00+;15;1;SEVEC MARECHAL           ;5,6848E+11;0000045000,00+;0000460650,00+;0000023032,00+;
1;1;SERVOPA MATRIZ           ;7,65646E+13;0000122900,00+;300;30;VECODIL CURITIBA         ;6,05582E+11;0000000000,00+;0000122900,00+;0000003687,00+;
10;1;PRIXX CURITIBA           ;7,20223E+12;0000391125,00+;1;2;SERVOPA PINHEIRINHO      ;7,65646E+13;0000226000,00+;0000165125,00+;0000008256,00+;
1;2;SERVOPA PINHEIRINHO      ;7,65646E+13;0000090025,00+;10;3;PRIXX MARINGA            ;7,20223E+12;0000000000,00+;0000090025,00+;0000004501,00+;
1;2;SERVOPA PINHEIRINHO      ;7,65646E+13;0000473450,00+;15;1;SEVEC MARECHAL           ;5,6848E+11;0000000000,00+;0000473450,00+;0000023672,00+;
1;3;SERVOPA MARECHAL         ;7,65646E+13;0000145400,00+;5;1;PLAZA MARIO TOURINHO     ;3,78713E+12;0000000000,00+;0000145400,00+;0000004362,00+;
1;3;SERVOPA MARECHAL         ;7,65646E+13;0000114200,00+;10;1;PRIXX CURITIBA           ;7,20223E+12;0000000000,00+;0000114200,00+;0000005710,00+;
1;3;SERVOPA MARECHAL         ;7,65646E+13;0000326000,00+;15;1;SEVEC MARECHAL           ;5,6848E+11;0000000000,00+;0000326000,00+;0000016300,00+;
1;4;SERVOPA PG OFICINAS      ;7,65646E+13;0000057289,00+;10;1;PRIXX CURITIBA           ;7,20223E+12;0000000000,00+;0000057289,00+;0000002864,00+;
1;4;SERVOPA PG OFICINAS      ;7,65646E+13;0000093510,00+;10;5;PRIXX LONDRINA           ;7,20223E+12;0000000000,00+;0000093510,00+;0000004675,00+;
1;4;SERVOPA PG OFICINAS      ;7,65646E+13;0000051776,00+;15;1;SEVEC MARECHAL           ;5,6848E+11;0000000000,00+;0000051776,00+;0000002588,00+;
1;6;SERVOPA PARANAGUA        ;7,65646E+13;0000054500,00+;10;1;PRIXX CURITIBA           ;7,20223E+12;0000000000,00+;0000054500,00+;0000002725,00+;
1;6;SERVOPA PARANAGUA        ;7,65646E+13;0000201900,00+;15;1;SEVEC MARECHAL           ;5,6848E+11;0000000000,00+;0000201900,00+;0000010095,00+;
5;3;PLAZA ALTO XV            ;3,78713E+12;0000149500,00+;10;1;PRIXX CURITIBA           ;7,20223E+12;0000000000,00+;0000149500,00+;0000004485,00+;
5;4;PLAZA MARINGA            ;3,78713E+12;0000129900,00+;1;9;SERVOPA MARINGA          ;7,65646E+13;0000000000,00+;0000129900,00+;0000003897,00+;
10;1;PRIXX CURITIBA           ;7,20223E+12;0000260000,00+;1;9;SERVOPA MARINGA          ;7,65646E+13;0000000000,00+;0000260000,00+;0000013000,00+;
10;1;PRIXX CURITIBA           ;7,20223E+12;0001007062,00+;1;11;SERVOPA MARIO TOURINHO   ;7,65646E+13;0000000000,00+;0001007062,00+;0000050353,00+;
10;1;PRIXX CURITIBA           ;7,20223E+12;0000706300,00+;15;1;SEVEC MARECHAL           ;5,6848E+11;0000000000,00+;0000706300,00+;0000035315,00+;
10;1;PRIXX CURITIBA           ;7,20223E+12;0000296500,00+;25;1;BYD CURITIBA             ;2,44677E+12;0000000000,00+;0000296500,00+;0000014825,00+;
10;2;PRIXX SAO JOSE           ;7,20223E+12;0000087000,00+;1;2;SERVOPA PINHEIRINHO      ;7,65646E+13;0000000000,00+;0000087000,00+;0000004350,00+;
10;3;PRIXX MARINGA            ;7,20223E+12;0000184025,00+;15;1;SEVEC MARECHAL           ;5,6848E+11;0000000000,00+;0000184025,00+;0000009201,00+;
10;5;PRIXX LONDRINA           ;7,20223E+12;0000069300,00+;15;1;SEVEC MARECHAL           ;5,6848E+11;0000000000,00+;0000069300,00+;0000003465,00+;
15;2;SEVEC ARTHUR BERNARDES   ;5,6848E+11;0000085900,00+;1;3;SERVOPA MARECHAL         ;7,65646E+13;0000000000,00+;0000085900,00+;0000004295,00+;
15;2;SEVEC ARTHUR BERNARDES   ;5,6848E+11;0000062000,00+;1;6;SERVOPA PARANAGUA        ;7,65646E+13;0000000000,00+;0000062000,00+;0000003100,00+;
10;5;PRIXX LONDRINA           ;7,20223E+12;0000000000,00+;15;2;SEVEC ARTHUR BERNARDES   ;5,6848E+11;00000-8130,00-;0000081300,00+;0000004065,00+;
16;1;CARWAY IPIRANGA          ;1,02858E+13;0000072900,00+;20;1;LYON EDU CHAVES          ;1,51089E+13;0000000000,00+;0000072900,00+;0000003645,00+;
20;3;LYON IPIRANGA            ;1,51089E+13;0002331000,00+;16;1;CARWAY IPIRANGA          ;1,02858E+13;0000353010,00+;0001977990,00+;0000098899,00+;
16;1;CARWAY IPIRANGA          ;1,02858E+13;0000170800,00+;20;6;LYON BOTANICO            ;1,51089E+13;0000000000,00+;0000170800,00+;0000008540,00+;
16;6;CARWAY GRAVATAI          ;1,02858E+13;0000169400,00+;20;3;LYON IPIRANGA            ;1,51089E+13;0000043000,00+;0000126400,00+;0000006320,00+;
16;6;CARWAY GRAVATAI          ;1,02858E+13;0000092900,00+;20;6;LYON BOTANICO            ;1,51089E+13;0000000000,00+;0000092900,00+;0000004645,00+;
20;3;LYON IPIRANGA            ;1,51089E+13;0000754451,00+;16;2;CARWAY NOVO HAMBURGO     ;1,02858E+13;0000000000,00+;0000754451,00+;0000037722,00+;
20;3;LYON IPIRANGA            ;1,51089E+13;0000695300,00+;16;3;CARWAY CANOAS            ;1,02858E+13;0000000000,00+;0000695300,00+;0000034765,00+;
20;4;LYON NOVO HAMBURGO       ;1,51089E+13;0000122500,00+;16;2;CARWAY NOVO HAMBURGO     ;1,02858E+13;0000000000,00+;0000122500,00+;0000006125,00+;
20;4;LYON NOVO HAMBURGO       ;1,51089E+13;0000075900,00+;16;3;CARWAY CANOAS            ;1,02858E+13;0000000000,00+;0000075900,00+;0000003795,00+;
20;4;LYON NOVO HAMBURGO       ;1,51089E+13;0000072900,00+;16;5;CARWAY BENTO GONCALVES   ;1,02858E+13;0000000000,00+;0000072900,00+;0000003645,00+;
20;7;LYON CEARA               ;1,51089E+13;0000260600,00+;16;1;CARWAY IPIRANGA          ;1,02858E+13;0000000000,00+;0000260600,00+;0000013030,00+;
20;7;LYON CEARA               ;1,51089E+13;0000129900,00+;16;2;CARWAY NOVO HAMBURGO     ;1,02858E+13;0000000000,00+;0000129900,00+;0000006495,00+;
20;7;LYON CEARA               ;1,51089E+13;0000148000,00+;16;3;CARWAY CANOAS            ;1,02858E+13;0000000000,00+;0000148000,00+;0000007400,00+;
20;7;LYON CEARA               ;1,51089E+13;0000284110,00+;16;5;CARWAY BENTO GONCALVES   ;1,02858E+13;0000000000,00+;0000284110,00+;0000014205,00+;
300;30;VECODIL CURITIBA         ;6,05582E+11;0000126000,00+;10;3;PRIXX MARINGA            ;7,20223E+12;0000000000,00+;0000126000,00+;0000003780,00+;
